trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'e': 0.07405109137681225, 'a': 0.2}",20,15,8.069348989431589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'e': 0.07368176001776583, 'a': 0.2}",25,8,26.41173544457142,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'e': 0.07243975703425146, 'a': 0.2}",25,7,7.213722301301748,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
166,False,"{'e': 0.07114750655254487, 'a': 0.2}",25,15,18.49476057903416,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'e': 0.07043957703401492, 'a': 0.2}",20,9,18.22676125304485,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'e': 0.06966898769808184, 'a': 0.2}",25,16,18.05410442147292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'e': 0.06904477995703041, 'a': 0.2}",20,15,9.18572054678361,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.06870041768035805, 'a': 0.2}",20,8,6.084136734826459,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'e': 0.06788093937176144, 'a': 0.2}",20,3,18.821927005787487,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'e': 0.06673671685043246, 'a': 0.2}",25,4,13.352486028182264,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'e': 0.06534985877304565, 'a': 0.2}",30,12,26.824897357325444,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'e': 0.06418408475700368, 'a': 0.2}",20,9,16.58739339522858,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'e': 0.06348192876270395, 'a': 0.2}",35,8,49.86956301000182,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'e': 0.061790848994825016, 'a': 0.2}",30,8,20.606071845590975,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'e': 0.06044629464471146, 'a': 0.2}",20,15,9.118517503712043,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'e': 0.06014481749244571, 'a': 0.2}",20,5,20.865400464938766,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'e': 0.0592493778170554, 'a': 0.2}",20,5,25.36667885417168,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'e': 0.058367269501634116, 'a': 0.2}",20,0,31.425590315859132,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'e': 0.0572115201300396, 'a': 0.2}",25,0,28.722629924554784,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
182,False,"{'e': 0.05579896266503611, 'a': 0.2}",20,13,13.143739905796483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
